secid,date,expiration,ForwardPrice
108105,20100216,20111217,1072.57674
108105,20100216,20121222,1079.786497
108105,20100217,20100220,1099.452498
108105,20100217,20100320,1097.86228
108105,20100217,20100331,1097.192786
108105,20100217,20100417,1096.311314
108105,20100217,20100522,1094.421879
108105,20100217,20100619,1092.946139
108105,20100217,20100630,1092.273415
108105,20100217,20100630,1092.324899
108105,20100217,20100918,1088.457738
108105,20100217,20100930,1087.806722
108105,20100217,20100930,1087.852886
108105,20100217,20101218,1084.411022
108105,20100217,20101231,1083.849911
108105,20100217,20101231,1083.886769
108105,20100217,20110618,1079.138398
108105,20100217,20111217,1077.766809
108105,20100217,20121222,1086.02308
108105,20100218,20100220,1106.75
108105,20100218,20100320,1105.14727
108105,20100218,20100331,1104.47283
108105,20100218,20100417,1103.585158
108105,20100218,20100522,1101.682366
108105,20100218,20100619,1100.196202
108105,20100218,20100630,1099.520375
108105,20100218,20100630,1099.572083
108105,20100218,20100918,1095.697966
108105,20100218,20100930,1095.044188
108105,20100218,20100930,1095.090546
108105,20100218,20101218,1091.635814
108105,20100218,20101231,1091.074528
108105,20100218,20101231,1091.111388
108105,20100218,20110618,1086.405894
108105,20100218,20111217,1085.221583
108105,20100218,20121222,1094.180929
108105,20100219,20100226,1108.763646
108105,20100219,20100320,1107.619981
108105,20100219,20100331,1106.945361
108105,20100219,20100417,1106.059496
108105,20100219,20100522,1104.162711
108105,20100219,20100619,1102.685261
108105,20100219,20100630,1102.011452
108105,20100219,20100630,1102.062999
108105,20100219,20100918,1098.232912
108105,20100219,20100930,1097.591488
108105,20100219,20100930,1097.636928
108105,20100219,20101218,1094.270028
108105,20100219,20101231,1093.729097
108105,20100219,20101231,1093.764561
108105,20100219,20110618,1089.366887
108105,20100219,20111217,1088.62491
108105,20100219,20121222,1098.295737
108105,20100222,20100226,1107.777919
108105,20100222,20100320,1106.63202
108105,20100222,20100331,1105.956262
108105,20100222,20100417,1105.068938
108105,20100222,20100522,1103.164514
108105,20100222,20100619,1101.680156
108105,20100222,20100630,1101.003291
108105,20100222,20100630,1101.055081
108105,20100222,20100918,1097.170393
108105,20100222,20100930,1096.515506
108105,20100222,20100930,1096.561941
108105,20100222,20101218,1093.101473
108105,20100222,20101231,1092.53721
108105,20100222,20101231,1092.57427
108105,20100222,20110618,1087.862658
108105,20100222,20111217,1086.768811
108105,20100222,20121222,1095.850255
108105,20100223,20100226,1094.428053
108105,20100223,20100320,1093.294933
108105,20100223,20100331,1092.626561
108105,20100223,20100417,1091.748732
108105,20100223,20100522,1089.858128
108105,20100223,20100619,1088.383074
108105,20100223,20100630,1087.707323
108105,20100223,20100630,1087.759064
108105,20100223,20100918,1083.855996
108105,20100223,20100930,1083.194953
108105,20100223,20100930,1083.241865
108105,20100223,20101218,1079.727213
108105,20100223,20101231,1079.146159
108105,20100223,20101231,1079.184384
108105,20100223,20110618,1074.186816
108105,20100223,20111217,1072.636721
108105,20100223,20121222,1080.536873
108105,20100224,20100226,1105.124121
108105,20100224,20100320,1103.977492
108105,20100224,20100331,1103.299851
108105,20100224,20100417,1102.408375
108105,20100224,20100522,1100.490333
108105,20100224,20100619,1098.981951
108105,20100224,20100630,1098.291453
108105,20100224,20100630,1098.344353
108105,20100224,20100918,1094.336473
108105,20100224,20100930,1093.655331
108105,20100224,20100930,1093.703701
108105,20100224,20101218,1090.065502
108105,20100224,20101231,1089.463171
108105,20100224,20101231,1089.502824
108105,20100224,20110618,1084.282914
108105,20100224,20111217,1082.570385
108105,20100224,20121222,1090.295866
108105,20100225,20100226,1102.882018
108105,20100225,20100320,1101.735437
108105,20100225,20100331,1101.057078
108105,20100225,20100417,1100.163777
108105,20100225,20100522,1098.237551
108105,20100225,20100619,1096.726159
108105,20100225,20100630,1096.032572
108105,20100225,20100630,1096.085722
108105,20100225,20100918,1092.04389
108105,20100225,20100930,1091.352809
108105,20100225,20100930,1091.401917
108105,20100225,20101218,1087.693528
108105,20100225,20101231,1087.073738
108105,20100225,20101231,1087.114586
108105,20100225,20110618,1081.625405
108105,20100225,20111217,1079.513733
108105,20100225,20121222,1086.263917
108105,20100226,20100305,1104.083739
108105,20100226,20100320,1103.339039
108105,20100226,20100331,1102.658592
108105,20100226,20100417,1101.763117
108105,20100226,20100522,1099.831968
108105,20100226,20100619,1098.31232
108105,20100226,20100630,1097.615109
108105,20100226,20100630,1097.668546
108105,20100226,20100918,1093.612296
108105,20100226,20100930,1092.919142
108105,20100226,20100930,1092.968394
108105,20100226,20101218,1089.249823
108105,20100226,20101231,1088.626225
108105,20100226,20101231,1088.66733
108105,20100226,20110618,1083.106455
108105,20100226,20111217,1080.819559
108105,20100226,20121222,1086.931599
108105,20100301,20100305,1115.475452
108105,20100301,20100320,1114.720031
108105,20100301,20100331,1114.030991
108105,20100301,20100417,1113.124809
108105,20100301,20100522,1111.168099
108105,20100301,20100619,1109.623462
108105,20100301,20100630,1108.915036
108105,20100301,20100630,1108.969346
108105,20100301,20100918,1104.849199
108105,20100301,20100930,1104.144652
108105,20100301,20100930,1104.19472
108105,20100301,20101218,1100.412014
108105,20100301,20101231,1099.779005
108105,20100301,20101231,1099.820727
108105,20100301,20110618,1094.173743
108105,20100301,20111217,1091.831601
108105,20100301,20121222,1097.982358
108105,20100302,20100305,1118.133645
108105,20100302,20100320,1117.375156
108105,20100302,20100331,1116.683186
108105,20100302,20100417,1115.772848
108105,20100302,20100522,1113.804937
108105,20100302,20100619,1112.251101
108105,20100302,20100630,1111.53852
108105,20100302,20100630,1111.593153
108105,20100302,20100918,1107.434601
108105,20100302,20100930,1106.723911
108105,20100302,20100930,1106.774422
108105,20100302,20101218,1102.955063
108105,20100302,20101231,1102.311853
108105,20100302,20101231,1102.354268
108105,20100302,20110618,1096.55595
108105,20100302,20111217,1094.008528
108105,20100302,20121222,1099.858459
108105,20100303,20100305,1118.67222
108105,20100303,20100320,1117.912139
108105,20100303,20100331,1117.219063
108105,20100303,20100417,1116.307673
108105,20100303,20100522,1114.337409
108105,20100303,20100619,1112.781576
